Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
"4933969","TYNGSBOROUGH","01/13/2021","Property damage only (none injured)","Open","4:41 PM","2021","No Apparent Injury (O)","2","Local police","","18-20","35-44","","","04:00PM to 04:59PM","D1: (Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Dusk","Rear-end","4","","",""," PW202105500108 / PW202108300926","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Turning right","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Cloudy","MIDDLESEX"," 21-10-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206741.51550000","936210.50000000","42.67645009","-71.41775371",""," FROST RD / INDIAN LN","","","","","","","","","","","10396","2018","0.477","338","0.068","87","None","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","20","FROST ROAD","PAWTUCKET BOULEVARD","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","20","0","0","","","Minor Arterial"
"4933971","TYNGSBOROUGH","01/18/2021","Property damage only (none injured)","Open","4:59 PM","2021","No Apparent Injury (O)","2","Local police","","25-34","45-54","","","04:00PM to 04:59PM","D1: (Unknown)  / D2: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Sideswipe, same direction","4","","",""," PW202105500110 / PW202108300928","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: W  / V2: W","Clear","MIDDLESEX"," 21-12-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Not reported"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204511.06397343","936829.76961625","42.68204091","-71.44496027",""," KENDALL ROAD Rte SR113 W"," CUMMINGS ROAD","200 feet E  of","","","","","","","LANE MERGE","","13180","2018","0.33","514","0.105","145","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Rural minor arterial or urban principal arterial","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","35","KENDALL ROAD","PAWTUCKET BOULEVARD","","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","35","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Principal Arterial - Other"
"4933972","TYNGSBOROUGH","01/19/2021","Property damage only (none injured)","Open","4:34 PM","2021","No Apparent Injury (O)","1","Local police","","65-74","65-74","","","04:00PM to 04:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Sideswipe, opposite direction","4","","",""," PW202105500202 / PW202108300929","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, divided, unprotected median","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(No)","V1: E","Clear","MIDDLESEX"," 21-13-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","Not reported"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","208064.49130037","936421.04256896","42.67833278","-71.40161049",""," COBURN ROAD","","","","","","","","","VICINITY OF SHERBURNE LUMBER","","1154","","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","22","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","35","COBURN ROAD","SHERBURNE AVENUE","PARHAM ROAD","TYNGSBOROUGH","Fair","Level Terrain","","","","","0","0","","","Local"
"4933973","TYNGSBOROUGH","01/20/2021","Property damage only (none injured)","Open","9:23 PM","2021","No Apparent Injury (O)","1","Local police","","25-34","25-34","","","09:00PM to 09:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with animal - deer","Yes","Dark - roadway not lighted","Single vehicle crash","4","","",""," PW202105500203 / PW202108300854","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(No)","V1: E","Clear","MIDDLESEX"," 21-15-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with animal - deer)","None","No, school bus not involved","35","Not reported"," V1:(Collision with animal - deer)","No","","","","","","","","205995.75018353","934414.05398387","42.66028455","-71.42687081","95"," WESTFORD RD","","","","","","","","","","","12050","2018","0.477","590","0.068","72","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Surface-treated road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","99","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4933974","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","5:47 AM","2021","No Apparent Injury (O)","1","Local police","","55-64","55-64","","","05:00AM to 05:59AM","D1: (Unknown) ","","Collision with guardrail","Yes","Dawn","Single vehicle crash","4","","",""," PW202105500204 / PW202108300855","Dry","On-ramp","NMCOG","0","0","No controls","Two-way, divided, unprotected median","V1: Entering traffic lane","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: S","Clear","MIDDLESEX"," 21-16-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with guardrail)","None","No, school bus not involved","55","Not reported"," V1:(Collision with guardrail)","No","","","","","","","","205817.58636649","934299.01287083","42.65925029","-71.42904501",""," RAMP-WESTFORD RD TO RT 3 SB"," Rte US3 S","","","","","","","","","","5337","2018","0.477","261","0.068","32","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","20","Bituminous concrete road","0","No Shoulder","1","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Simple Ramp/ Channelized Turning Lane","One-way traffic","Full Access Control","","99","RAMP-WESTFORD RD TO RT 3 SB","WESTFORD ROAD","ROUTE 3","TYNGSBOROUGH","Good","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4933975","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","4:58 PM","2021","No Apparent Injury (O)","2","Local police","","18-20","65-74","","","04:00PM to 04:59PM","D1: (Swerving or avoiding due to wind, slippery surface, vehicle, object, vulnerable user in roadway)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Sideswipe, opposite direction","4","","",""," PW202105500205 / PW202108300856","Snow","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, unprotected median","V1: Turning right / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(Yes, vehicle or trailer disabled)","V1: N  / V2: S","Snow","MIDDLESEX"," 21-17-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205591.00000000","933828.06250000","42.65501243","-71.43181319","150"," WESTFORD RD"," DUNSTABLE RD","","","","","","","","","","18186","2018","0.477","891","0.068","109","Both sides","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","99","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4933976","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","5:00 PM","2021","No Apparent Injury (O)","2","Local police","","21-24","35-44","","","05:00PM to 05:59PM","D1: (No improper driving)  / D2: (No improper driving) ","D1: Not Distracted / D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Angle","4","","",""," PW202105500206 / PW202108300858","Snow","T-intersection","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: E","Snow","MIDDLESEX"," 21-19-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","30","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206520.21830000","935642.18720000","42.67133602","-71.42045999",""," MIDDLESEX RD / WESTFORD RD","","","","","","","","","","","22469","2018","0.412","1063","0.07","137","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4933977","TYNGSBOROUGH","02/07/2021","Property damage only (none injured)","Open","1:32 PM","2021","No Apparent Injury (O)","2","Local police","","18-20","55-64","","","01:00PM to 01:59PM","D1: (No improper driving)  / D2: (Driving too fast for conditions) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202105500208 / PW202108300870","Snow","T-intersection","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: E  / V2: N","Snow/Sleet, hail (freezing rain or drizzle)","MIDDLESEX"," 21-32-AC","","","Roadway","At Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","45","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","207912.59410000","935102.62510000","42.66646593","-71.40348189",""," PAWTUCKET BOULEVARD Rte SR113 E  / BUTTERFIELD ROAD","","","","","","","","","","","8983","2018","0.477","171","0.068","59","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","1","45","PAWTUCKET BOULEVARD","","PAWTUCKET BOULEVARD","TYNGSBOROUGH","Good","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4933978","TYNGSBOROUGH","02/10/2021","Property damage only (none injured)","Open","7:42 AM","2021","No Apparent Injury (O)","2","Local police","","18-20","21-24","","","07:00AM to 07:59AM","D1: (Inattention)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202105500209 / PW202108300933","Wet","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(No)","V1: E  / V2: W","Clear","MIDDLESEX"," 21-35-AC","V2:(No, not federally reportable)","No, not federally reportable","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","205995.75018353","934414.05398387","42.66028455","-71.42687081","95"," WESTFORD RD","","","","","","","","","","","12050","2018","0.477","590","0.068","72","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Surface-treated road","12","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","99","WESTFORD ROAD","WESTFORD TOWN LINE","MIDDLESEX ROAD","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4933979","TYNGSBOROUGH","01/08/2021","Property damage only (none injured)","Open","11:42 AM","2021","No Apparent Injury (O)","2","Local police","","55-64","55-64","","","11:00AM to 11:59AM","D1: (No improper driving)  / D2: (Glare),(Disregarded traffic signs, signals, road markings) ","D1: Not Distracted / D2: External distraction (outside the vehicle)","Collision with motor vehicle in traffic","Yes","Daylight","Angle","4","","",""," PW202105500210 / PW202108301101","Dry","Four-way intersection","NMCOG","0","0","Traffic control signal","Two-way, divided, positive median barrier","V1: Travelling straight ahead / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(Yes, vehicle or trailer disabled) / V2:(No)","V1: E  / V2: N","Clear","MIDDLESEX"," 21-7-AC","","","Roadway","Operator Designated","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","204911.40800882","938726.65680978","42.69911419","-71.44005938",""," MIDDLESEX ROAD / RAMP-RT 3 NB TO MIDDLESEX RD","","","","","","","","","PHEASANT LANE MALL ENTRANCE","","31732","2018","0.477","1554","0.068","191","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","99","0","0","","","Minor Arterial"
"4933980","TYNGSBOROUGH","01/11/2021","Property damage only (none injured)","Open","4:54 PM","2021","No Apparent Injury (O)","1","Local police","","65-74","65-74","","","04:00PM to 04:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Front to Rear","4","","",""," PW202105500211 / PW202108301102","Dry","Four-way intersection","NMCOG","0","0","Stop signs","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(No)","V1: N","Clear","MIDDLESEX"," 21-8-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic)","None","No, school bus not involved","30","No, device not functioning"," V1:(Collision with motor vehicle in traffic)","No","","","","","","","","204934.96370733","938634.28864511","42.69828255","-71.43977270","445"," MIDDLESEX RD","","","","","","","","","","","21283","2018","0.477","1042","0.068","128","Both sides","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","12","Hardened bituminous mix or penetration","2","2","5","Raised Median","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","35","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","Derived from count data that is three or more years old","","99","0","0","","","Minor Arterial"
"4933981","TYNGSBOROUGH","01/13/2021","Non-fatal injury","Open","12:01 PM","2021","Suspected Minor Injury (B)","2","Local police","","25-34","55-64","","","12:00PM to 12:59PM","D1: (Followed too closely)  / D2: (No improper driving) ","D2: Not Distracted","Collision with motor vehicle in traffic","Yes","Daylight","Rear-end","4","","",""," PW202105500212 / PW202108301103","Dry","Four-way intersection","NMCOG","0","1","Traffic control signal","Two-way, divided, unprotected median","V1: Travelling straight ahead / V2: Slowing or stopped in traffic","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: N  / V2: N","Cloudy","MIDDLESEX"," 21-9-AC","","","Roadway","At Address","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","None","No, school bus not involved","35","Yes, device functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206223.72054937","936188.16244364","42.67625333","-71.42407103","10"," KENDALL RD","","","","","","","","","","","10286","2018","0.444","488","0.063","61","None","City or Town accepted road","","0","4","0","No Shoulder","24","Bituminous concrete road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","25","KENDALL ROAD","PAWTUCKET BOULEVARD","","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","25","0","0","","","Minor Arterial"
"4934071","TYNGSBOROUGH","01/19/2021","Property damage only (none injured)","Open","10:36 PM","2021","No Apparent Injury (O)","1","Local police","","25-34","25-34","","","10:00PM to 10:59PM","D1: (Unknown) ","D1: Other activity, electronic device","Collision with tree","Yes","Dark - lighted roadway","Single vehicle crash","4","","",""," PW202105500301 / PW202108300930","Dry","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: W","Clear","MIDDLESEX"," 21-14-AC","","","Outside roadway","At Address","No hit and run","","V1:(Collision with tree)","None","No, school bus not involved","35","Not reported"," V1:(Collision with tree)","No","","","","","","","","205058.76437948","932818.18538296","42.64592509","-71.43831314","3"," CLOVER HILL CIR","","","","","","","","","","","1154","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","TYNGSBOROUGH","Deficient","","","","","","","","","",""
"4934072","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","5:00 PM","2021","No Apparent Injury (O)","1","Local police","","18-20","18-20","","","05:00PM to 05:59PM","D1: (No improper driving) ","D1: Not Distracted","Collision with utility pole","Yes","Dark - lighted roadway","Single vehicle crash","4","","",""," PW202105500302 / PW202108300857","Snow","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Travelling straight ahead","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: E","Snow","MIDDLESEX"," 21-18-AC","","","Roadside","At Address","No hit and run","","V1:(Collision with utility pole)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","30","Not reported"," V1:(Collision with utility pole)","No","","","","","","","","206536.11457501","935630.48077577","42.67123050","-71.42026621","176"," MIDDLESEX RD","","","","","","","","","","","22469","2018","0.412","1063","0.07","137","None","Massachusetts Department of Transportation","","0","0","0","No Shoulder","24","Bituminous concrete road","2","Hardened bituminous mix or penetration","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","2","45","MIDDLESEX ROAD","NEW HAMPSHIRE STATE LINE","CHELMSFORD TOWN LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","45","Surfaced shoulder exists – Portland Cement Concrete surface (PCC","2","","","Minor Arterial"
"4934073","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","4:58 PM","2021","No Apparent Injury (O)","1","Local police","","35-44","35-44","","","04:00PM to 04:59PM","D1: (Unknown) ","","Collision with other movable object","Yes","Dark - roadway not lighted","Single vehicle crash","4","","",""," PW202105500303 / PW202108300860","Snow","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Turning left","V1:(Passenger car)","V1:(No)","V1:(Yes, vehicle or trailer disabled)","V1: E","Snow","MIDDLESEX"," 21-20-AC","","","Shoulder - unpaved","At Address","No hit and run","","V1:(Collision with other fixed object (wall, building, tunnel, etc.))","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","30","No, device not functioning"," V1:(Collision with other fixed object(wall, building, tunnel, etc.))","No","","","","","","","","208716.15998574","938543.06911855","42.69742816","-71.39362764","125"," NORRIS RD","","","","","","","","","","","1154","","","","","","None","City or Town accepted road","","0","0","0","No Shoulder","22","Bituminous concrete road","3","Stable - Unruttable compacted subgrade","2","0","0","None","Large Urbanized Area","Local","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","","NORRIS ROAD","FROST ROAD","LONG POND ROAD","TYNGSBOROUGH","Good","Rolling Terrain","","","","","0","0","","","Local"
"4934074","TYNGSBOROUGH","01/26/2021","Property damage only (none injured)","Open","6:13 PM","2021","No Apparent Injury (O)","2","Local police","","21-24","45-54","","","06:00PM to 06:59PM","D1: (Unknown)  / D2: (Unknown) ","","Collision with motor vehicle in traffic","Yes","Dark - lighted roadway","Rear-end","4","","",""," PW202105500304 / PW202108300861","Snow","Not at junction","NMCOG","0","0","No controls","Two-way, not divided","V1: Other / V2: Travelling straight ahead","V1:(Passenger car) / V2:(Passenger car)","V1:(No) / V2:(No)","V1:(No) / V2:(No)","V1: S  / V2: S","Snow","MIDDLESEX"," 21-21-AC","","","Roadway","Off Intersection","No hit and run","","V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)","Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved","30","No, device not functioning"," V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic)","No","","","","","","","","206745.35204088","936215.23193596","42.67649265","-71.41770685",""," FROST RD"," INDIAN LN","20 feet N  of","","","","","","","","","10396","2018","0.477","338","0.068","87","None","City or Town accepted road","","0","0","0","No Shoulder","24","Surface-treated road","0","No Shoulder","2","0","0","None","Large Urbanized Area","Urban minor arterial or rural major collector","Boston (MA-NH-RI)","","Mainline roadway","Two-way traffic","No Access Control","","20","FROST ROAD","PAWTUCKET BOULEVARD","NEW HAMPSHIRE STATE LINE","TYNGSBOROUGH","Fair","Level Terrain","","MassDOT Highway Special Count","","20","0","0","","","Minor Arterial"
